sep=,
Depth,Clay,Quartz,Carbonates,GammaRay,NeutronPorosity,Resistivity,Density,GR_Dens,Porosity,Sonic,TOC,AvgPorosity,Photoelectric,RHOMAA,UMA,PEF_Dens,Well
4194.08,1.889197243,13.07441725,85.03638551,164.458,0.034890924,302.2566629,2.638239519,62.33626584,0.013108778,61.15860165,2.688531798,0.023999851,4.136028593,2.67852384,11.16786116,1.567722932,Cerro Gordo
4194.11,13.01983813,14.97475749,72.00540438,164.458,0.034890924,302.2566629,2.638239519,62.33626584,0.013108778,61.15860165,2.688531798,0.023999851,4.136028593,2.67852384,11.16786116,1.567722932,Cerro Gordo
4195,1.706097776,14.94845911,83.34544311,131.610375,0.024978444,266.5872361,2.627935281,50.08128471,0.01931616,61.88513971,2.597796581,0.022147302,4.037008857,2.664806247,10.83795583,1.536190364,Cerro Gordo
4196,1.68953516,14.41104561,83.89941923,197.537625,0.050143659,213.7484622,2.618737095,75.43240036,0.024857188,61.76765765,2.374879446,0.037500424,3.818344669,2.681805514,10.36934546,1.458086295,Cerro Gordo
4197.8,6.649472776,52.21960957,41.13091765,123.527125,0.01829445,102.3615401,2.610782001,47.31422422,0.029649378,59.91951887,1.56580254,0.023971914,5.004250501,2.650343904,13.37361226,1.916763061,Cerro Gordo
4199.85,1.721544386,14.66330083,83.61515479,180.867125,0.021116648,437.1235973,2.653056649,68.17311084,0.00418276,58.69750914,2.940299106,0.012649704,4.483218967,2.674235229,12.04021418,1.689831602,Cerro Gordo
4200.92,1.206263927,1.701547347,97.09218873,223.06775,0.015909918,771.8869372,2.673649909,83.43192175,0,57.80449936,3.459884045,0.007954959,4.078707145,2.687070486,10.98847034,1.525520275,Cerro Gordo
4201.9,1.173470512,11.79109622,87.03543327,208.849,0.010345744,690.9589533,2.683017346,77.84109196,0,57.50531419,3.337216252,0.005172872,4.684698613,2.691768649,12.63188432,1.746056029,Cerro Gordo
7783,28.71156178,34.13424446,37.15419376,231.4040279,0.198003496,25.4489994,2.604817564,88.83694242,0.028571,70.54000092,1.813482,0.113287248,5.180311108,2.809850552,15.15386094,1.98874239,Selva-1
7783.8,21.90698709,24.41032488,53.68268803,218.0844486,0.175003233,58.83200073,2.57779468,84.60117101,0.041471,68.06900024,2.955024,0.108237117,5.291789465,2.769298442,15.23614452,2.052835901,Selva-1
7784.25,13.31949301,38.61451049,48.0659965,218.0844486,0.175003233,58.83200073,2.57779468,84.60117101,0.041471,68.06900024,2.955024,0.108237117,5.291789465,2.769298442,15.23614452,2.052835901,Selva-1
7785,10.21021021,38.27756328,51.51222651,202.168568,0.157003151,176.1309967,2.570432654,78.65157164,0.032702,67.72799683,4.550958,0.094852575,5.145940663,2.735002069,14.56101765,2.001974514,Selva-1
7785.24,18.65096831,38.63336268,42.71566901,202.168568,0.157003151,176.1309967,2.570432654,78.65157164,0.032702,67.72799683,4.550958,0.094852575,5.145940663,2.735002069,14.56101765,2.001974514,Selva-1
7786.7,18.27548807,29.42516269,52.29934924,178.7869828,0.16199519,304.4169922,2.560264083,69.83146151,0.031506,68.18800354,5.313843,0.096750595,4.578062606,2.727390103,12.92297996,1.788121248,Selva-1
7788,9.613945033,53.25633622,37.12971875,154.8425697,0.159003491,294.42099,2.562959657,60.41553145,0.029022,68.47399902,5.359028,0.094012746,4.607985814,2.725145303,12.98370955,1.79791586,Selva-1
7788.01,16.97493707,40.01313341,43.01192952,154.8425697,0.159003491,294.42099,2.562959657,60.41553145,0.029022,68.47399902,5.359028,0.094012746,4.607985814,2.725145303,12.98370955,1.79791586,Selva-1
7788.2,20.31284424,39.11654549,40.57061027,154.8425697,0.159003491,294.42099,2.562959657,60.41553145,0.029022,68.47399902,5.359028,0.094012746,4.607985814,2.725145303,12.98370955,1.79791586,Selva-1
7789.5,20.95789474,37.6,41.44210526,149.3618754,0.162003237,239.3800049,2.56367195,58.26091572,0.030932,69.08799744,5.31745,0.096467618,4.672012877,2.730620819,13.20292974,1.822391073,Selva-1
7790.1,11.40219025,43.68692291,44.91088684,153.6505478,0.167999473,346.3450012,2.562439042,59.9626158,0.027032,69.24099731,5.601404,0.097515737,4.602876878,2.731264583,13.01500096,1.796287366,Selva-1
7791,7.786357786,56.02745603,36.18618619,162.1342536,0.166984909,322.8770142,2.5569456,63.40934811,0.03578,67.98799896,5.41417,0.101382455,3.901992701,2.732600936,11.04640332,1.526036652,Selva-1
7791.4,11.90732759,41.81034483,46.28232759,162.1342536,0.166984909,322.8770142,2.5569456,63.40934811,0.03578,67.98799896,5.091612,0.101382455,3.901992701,2.732600936,11.04640332,1.526036652,Selva-1
7792.3,20.01323919,28.49735216,51.48940865,167.9677279,0.150002411,287.2990112,2.560595854,65.59712561,0.039165,65.08399963,5.831739,0.094583706,4.19403585,2.723622453,11.80886519,1.63791402,Selva-1
7793,10.37005164,46.67598967,42.95395869,125.732789,0.135013992,595.3920288,2.564793932,49.02256957,0.026409,64.08699799,6.197354,0.080711496,4.60570274,2.702179376,12.80590657,1.795739877,Selva-1
7794.2,17.97174461,32.73464024,49.29361516,125.0130751,0.151019411,459.2120056,2.567900313,48.68299385,0.026173,66.12400055,5.850186,0.088596205,4.442663267,2.720313567,12.46869758,1.73007622,Selva-1
7794.9,21.67050312,29.25572728,49.07376959,153.8727382,0.185992655,90.02799988,2.56653277,59.95354511,0.050212,67.60399628,3.440137,0.118102328,3.940096121,2.776320336,11.39966116,1.535182472,Selva-1
7795,16.40783978,43.19374531,40.39841491,153.8727382,0.185992655,90.02799988,2.56653277,59.95354511,0.050212,67.60399628,3.440137,0.118102328,3.940096121,2.776320336,11.39966116,1.535182472,Selva-1
7795.1,25.29372645,27.3664376,47.33983596,153.8727382,0.185992655,90.02799988,2.56653277,59.95354511,0.050212,67.60399628,3.440137,0.118102328,3.940096121,2.776320336,11.39966116,1.535182472,Selva-1
7796.1,7.472550901,42.01044665,50.51700245,133.6164829,0.173987926,132.5610046,2.546280182,52.47516899,0.060211,66.83799744,4.010651,0.117099463,4.022289484,2.751363962,11.53394504,1.579672776,Selva-1
7796.5,9.523809524,28.88315597,61.5930345,133.6164829,0.173987926,132.5610046,2.546280182,52.47516899,0.060211,66.83799744,5.371354,0.117099463,4.022289484,2.751363962,11.53394504,1.579672776,Selva-1
7798,12.34462066,39.86283755,47.79254179,117.1211718,0.131012234,524.8179932,2.543268328,46.05144118,0.044478,65.07099915,6.013189,0.087745117,4.618956257,2.691707391,12.82905996,1.816149797,Selva-1
7798.35,12.02614379,28.99782135,58.97603486,117.1211718,0.131012234,524.8179932,2.543268328,46.05144118,0.044478,65.07099915,5.969982,0.087745117,4.618956257,2.691707391,12.82905996,1.816149797,Selva-1
7800.4,6.812908669,0.727694579,92.45939675,148.9536432,0.158999469,280.7940063,2.543917789,58.55285256,0.049605,66.75700378,4.747345,0.104302235,4.49903474,2.723703964,12.71971845,1.76854565,Selva-1
7801,29.14920751,37.80287848,33.04791401,153.3354613,0.166990945,168.9559937,2.543951176,60.27452992,0.053836,68.01599884,4.47867,0.110413472,4.551822039,2.735582912,12.9547896,1.789272562,Selva-1
7801.4,20.51811096,39.95873453,39.52315452,153.3354613,0.166990945,168.9559937,2.543951176,60.27452992,0.053836,68.01599884,4.335336,0.110413472,4.551822039,2.735582912,12.9547896,1.789272562,Selva-1
7801.5,17.87878788,49.35064935,32.77056277,153.3354613,0.166990945,168.9559937,2.543951176,60.27452992,0.053836,68.01599884,4.335336,0.110413472,4.551822039,2.735582912,12.9547896,1.789272562,Selva-1
7802.8,9.447356924,28.94276977,61.60987331,143.1177362,0.155001749,165.8370056,2.558823352,55.93107317,0.041233,69.99700165,4.487699,0.098117375,4.357183394,2.728410448,12.30781436,1.702807421,Selva-1
