sep=,
Well,Depth,Clay,Quartz,Carbonates,TOC,Formation,Sonic,GammaRay,NeutronPorosity,Resistivity,Density,Photoelectric,AvgPorosity,RHOMAA,UMA,GR_Dens,PEF_Dens
Coyote-1,9635.5,40.3479793,54.69661932,4.955401388,3.808646,Tablazo,89.65759,195.5764,0.24745,17.81652,2.5363,3.4077,0.21105055,2.947273048,10.82125634,77.11090959,1.343571344
Coyote-1,9638,22.81491003,68.42330763,8.761782348,3.076636,Tablazo,89.78935,171.1758,0.29155,15.58134,2.53405,3.3134,0.24462545,3.030846816,10.95351775,67.55028512,1.307551153
Coyote-1,9640.11,43.2913351,49.94473917,6.763925729,3.743631,Tablazo,88.39909,186.7479,0.2865,17.18071,2.474,3.167,0.24974125,2.964655527,10.27683766,75.48419563,1.280113177
Coyote-1,9644.85,52.66176152,45.98571738,1.352521099,4.626866,Tablazo,81.32405,220.9138,0.20855,38.20397,2.4634,3.6514,0.1925025,2.812265673,11.0199815,89.67841195,1.482260291
Coyote-1,9645.2,39.61733867,58.36125824,2.021403092,4.441984,Tablazo,80.9154,164.1784,0.1898,34.74168,2.50695,3.6376,0.1721115,2.820233039,10.91116203,65.48929975,1.451006203
Coyote-1,9651,19.19259507,71.98617152,8.821233411,4.298592,Tablazo,89.1038,191.5224,0.23665,22.33092,2.52135,3.8235,0.2051433,2.913992799,11.99940829,75.96025938,1.516449521
Coyote-1,9655.4,32.96893603,62.10628856,4.924775409,4.000488,Tablazo,85.43995,208.0357,0.23555,18.05876,2.46735,3.1143,0.2122107,2.862617327,9.619276062,84.31543964,1.262204389
Coyote-1,9660.8,2.390395541,46.53231858,51.07728588,4.823026,Tablazo,88.07085,273.7621,0.23945,21.59278,2.4348,2.9364,0.2199273,2.839315746,9.024265392,112.4372022,1.206012814
Coyote-1,9665,12.34047156,82.10036773,5.559160718,4.733106,Tablazo,86.66505,221.3758,0.2338,24.01755,2.48745,3.4378,0.20794915,2.87797286,10.66520039,88.99708537,1.382057931
Coyote-1,9670.75,15.39807524,71.34733158,13.25459318,5.511093,Tablazo,88.90345,400.3502,0.2768,24.11604,2.44085,3.4023,0.24730235,2.914248038,10.8687104,164.0208124,1.393899666
Coyote-1,9681,60.90670171,35.73149365,3.361804643,4.858714,Tablazo,84.5449,258.0244,0.2156,25.42715,2.4905,5.1899,0.1938588,2.848931676,15.91348581,103.6034531,2.083878739
Coyote-1,9683,50.55791118,39.3662129,10.07587592,4.15495,Tablazo,90.02235,238.4178,0.26655,17.31454,2.45675,4.2643,0.23716545,2.909653935,13.57795907,97.04601608,1.735748448
Coyote-1,9684.29,36.62309368,36.47058824,26.90631808,6.375881,Tablazo,88.6743,256.6588,0.2275,28.93228,2.40245,2.9496,0.2156643,2.788073653,8.897254543,106.8321089,1.227746675
Coyote-1,9684.46,41.37369792,34.29904514,24.32725694,6.375881,Tablazo,88.6743,256.6588,0.2275,28.93228,2.40245,2.9496,0.2156643,2.788073653,8.897254543,106.8321089,1.227746675
Coyote-1,9685.3,32.52788104,39.68948174,27.78263722,6.401284,Tablazo,88.2274,298.6948,0.2336,31.39286,2.4017,2.9687,0.22037185,2.7979084,9.003960241,124.3680726,1.236082775
Coyote-1,9691.1,29.90287024,64.06198843,6.035141329,4.789376,Tablazo,91.86235,274.4525,0.26095,18.17415,2.45645,3.6757,0.232974,2.898827419,11.61979681,111.7272894,1.496346353
Coyote-1,9701.2,41.02928322,53.84615385,5.124562937,6.493029,Tablazo,88.13305,293.8174,0.2449,42.03162,2.39745,4.42,0.2295225,2.813745372,13.60450857,122.5541304,1.843625519
Coyote-1,9704,33.52479841,58.31216171,8.163039876,5.374021,Tablazo,89.0304,219.9122,0.24075,22.53999,2.41055,5.0874,0.22446675,2.818813055,15.66818534,91.22905561,2.110472714
Coyote-1,9707.5,35.59797866,48.34362718,16.05839416,3.661645,Tablazo,93.9379,227.1825,0.32505,14.1098,2.4685,5.6418,0.2800375,3.039689567,19.14928146,92.0326109,2.285517521
Coyote-1,9710.8,32.64709191,50.30937113,17.04353696,5.986544,Tablazo,95.96555,241.2798,0.28295,19.3259,2.40075,3.8787,0.2579242,2.887610403,12.37451339,100.5018432,1.615620119
Coyote-1,9716,72.91393622,23.64569681,3.440366972,4.900593,Tablazo,91.50945,236.5336,0.29755,22.00914,2.3844,4.587,0.27151065,2.900370953,14.82724143,99.20046972,1.923754404
Coyote-1,9721.1,69.31008007,26.59866184,4.091258089,6.285095,Tablazo,95.806,218.4937,0.30095,26.30482,2.3803,5.2975,0.2747397,2.903178762,17.19695591,91.79250515,2.225559803
Coyote-1,9727.08,49.8554592,41.78341116,8.361129642,6.562055,Tablazo,98.5379,219.5635,0.3234,24.63263,2.3416,4.1226,0.2977885,2.910535501,13.53521825,93.76644175,1.760591049
Coyote-1,9731.2,56.02283957,33.34797409,10.62918634,4.908847,Tablazo,96.90455,240.8269,0.34975,16.1859,2.35005,6.3698,0.31716295,2.977118846,21.69004599,102.4773515,2.710495521
Coyote-1,9736,42.83205269,46.43249177,10.73545554,6.258915,Tablazo,97.9818,238.0891,0.324,20.12025,2.36165,5.3296,0.2953651,2.932419186,17.65306727,100.814727,2.256727288
Coyote-1,9741.2,12.75378575,19.13628716,68.10992709,5.73272,Paja,93.08365,220.9419,0.298,24.08925,2.38305,4.7028,0.27205415,2.899935277,15.20852199,92.71391704,1.973437402
Coyote-1,9746,54.79058459,29.61653221,15.59288319,4.403157,Paja,92.86635,197.785,0.3377,15.94814,2.3503,7.1003,0.3076692,2.950368234,23.88164804,84.15308684,3.021018593
Coyote-1,9751.15,67.25146199,28.68807238,4.060465629,3.168001,Paja,82.2273,206.0327,0.2944,19.45535,2.42705,4.8227,0.2627708,2.935693811,15.69871166,84.89017532,1.987062483
Coyote-1,9761.15,11.42796112,17.14194169,71.43009719,5.619789,Paja,87.07035,154.8839,0.22065,29.88541,2.4087,7.2623,0.20960085,2.782264062,21.998887,64.30186408,3.015028854
Coyote-1,9766.17,7.280720566,18.19644006,74.52283937,5.032024,Paja,84.46005,191.8742,0.22735,34.87957,2.44645,5.2096,0.2091104,2.828889898,15.98259823,78.42964295,2.129452881
Coyote-1,9766.1701,5.198809271,15.60705932,79.19413141,5.032024,Paja,84.46005,191.8742,0.22735,34.87957,2.44645,5.2096,0.2091104,2.828889898,15.98259823,78.42964295,2.129452881
Coyote-1,9771,13.43234684,22.38724473,64.18040843,5.982975,Paja,100.9392,239.9743,0.36895,16.33689,2.31025,7.0327,0.33838055,2.98036802,24.30113701,103.8737366,3.044129423
Coyote-1,9780.9,60.01766199,21.69113589,18.29120212,4.126786,Paja,92.19195,176.3512,0.3535,13.04616,2.31265,9.3844,0.32564485,2.946526248,31.94164119,76.25503211,4.057855707
Coyote-1,9786,39.75400587,17.50169262,42.74430151,7.103346,Paja,97.60954,211.3839,0.3153,24.13145,2.2906,8.8738,0.29887315,2.840751071,28.77780206,92.28320091,3.87400681
Coyote-1,9791,60.06921912,16.1907852,23.73999567,3.088304,Paja,77.927,90.37985,0.21185,38.84789,2.56825,5.5128,0.17978295,2.911993905,17.15199303,35.1912197,2.146520004
Coyote-1,9801.15,55.51824976,22.50622766,21.97552258,5.712572,Paja,94.66965,184.2801,0.33805,24.30646,2.3472,10.4384,0.30846385,2.948126645,35.20680814,78.51060838,4.447171097
Coyote-1,9806,46.36883803,26.51848592,27.11267606,6.861322,Paja,98.0798,198.9547,0.35595,25.09168,2.2778,9.0884,0.3326916,2.914856759,30.7731953,87.34511371,3.989990342
Coyote-1,9811,61.35195531,23.53072626,15.11731844,5.450385,Paja,92.5777,187.6968,0.27495,23.73175,2.44245,6.9694,0.245655,2.91218872,22.40299005,76.84775533,2.853446335
Coyote-1,9815.42,56.31463146,16.09460946,27.59075908,6.311893,Paja,96.6998,194.0892,0.26995,23.31079,2.4506,6.2356,0.24067145,2.910371999,19.96583117,79.20068555,2.544519709
Coyote-1,9816,65.05928854,22.17955957,12.76115189,5.970256,Paja,97.87825,237.7575,0.29745,19.91944,2.3969,6.8892,0.2696189,2.912563181,22.42379222,99.19375026,2.874212525
Coyote-1,9821,34.54666519,26.43435801,39.01897681,6.872393,Paja,86.639,177.5968,0.1824,42.45832,2.44235,6.2189,0.17594365,2.750305061,18.32491017,72.71554036,2.546277151
Coyote-1,9825,31.24169987,25.71934484,43.03895529,5.845848,Paja,91.33575,225.1884,0.2753,27.25623,2.3764,6.0039,0.25568055,2.84920601,18.99698803,94.76030971,2.526468608
Coyote-1,9830.8,87.36173475,8.71755558,3.92070967,4.088013,Paja,84.0858,255.1382,0.30775,20.98761,2.3867,8.5388,0.27905385,2.923444629,28.07425636,106.8999874,3.57765953
Coyote-1,9834.4,64.51224847,18.02274716,17.46500437,12.17812,Paja,110.0641,127.0726,0.2174,48.47767,2.43345,7.2636,0.20352785,2.799749056,22.06460514,52.21911278,2.984897984
Coyote-1,9840.3,70.25692808,15.12397621,14.6190957,8.262412,Paja,106.2021,209.4009,0.376,18.25111,2.24385,10.4156,0.3536415,2.924396446,35.88445624,93.3221472,4.64184326
Coyote-1,9846,64.65297057,19.01166019,16.33536924,8.262008,Paja,102.7614,178.7258,0.27075,21.8609,2.3751,7.8512,0.2524002,2.839353087,24.7741974,75.24980001,3.305629237
Coyote-1,9850.8,68.39324681,17.02078787,14.58596532,4.510512,Paja,80.3916,229.3766,0.1938,25.40862,2.45575,5.672,0.18255625,2.780856481,16.92805881,93.40388883,2.30968136
Coyote-1,9853.8,76.16879511,11.34925042,12.48195447,8.400778,Paja,98.8076,293.0593,0.3247,26.76156,2.23845,9.7923,0.3135318,2.804089396,31.70257273,130.920637,4.37458956
Coyote-1,9860.7,77.05850191,15.13395298,7.807545107,6.42115,Paja,89.02575,155.0607,0.23645,31.12963,2.353,8.0695,0.22962575,2.756289232,24.49811975,65.89915002,3.429451764
Coyote-1,9866,0,12.07682292,87.92317708,8.671589,Paja,94.3716,289.3247,0.28905,39.40593,2.33665,5.3839,0.27200425,2.836068411,17.09390173,123.8202983,2.304110586
